Level	Intended Use	User	Equipment Type	Name	Set	Treasure Level - Low	Treasure Level - High	DescTitle	DescType	Description	Max Stack Size	Geonite Value	is weapon?	is ranged?	Weapon Size	Weapon Speed	TypeDamageMod	MageItemDmgMod	TypeDelayMod	Weapon Range	Weapon Attack Duration	Weapon Damage Spread	Wishing %	Drop on Death	Required Avatar Level	Strength	Agility	Constitution	Intelligence	Wisdom	Bonus Dmg %	Average Damage	Min Attack Damage	Max Attack Damage	is armor?	armor type %	Bonus Defense %	Physical Defense	Mage-Item MP Regen	Mage-Item Base HP	Mage-Item MP Added	Warrior-Item HP Steal	Warrior-Item MP Steal	HP Regen Rate	MP Regen Rate	HP Modifier	MP Modifier	HP Added	MP Added	Movement Speed Modifier	Attack Speed Modifier	HP Steal	MP Steal
1	Consumable - Self	Non-specific	(none)	Blue Potion		5	150			Restores some MP	50	1	FALSE	FALSE									0	TRUE	0										FALSE	FALSE	0	0	0			0	0									0	0
1	Consumable - Self	Non-specific	(none)	Large Blue Potion		15	150			Restores a high amount of MP	50	1	FALSE	FALSE									0	TRUE	0										FALSE	FALSE	0	0	0			0	0									0	0
1	Consumable - Self	Non-specific	(none)	Large Purple Potion		25	150			Restores a high amount of both HP and MP	50	1	FALSE	FALSE									0	TRUE	0										FALSE	FALSE	0	0	0			0	0									0	0
1	Consumable - Self	Non-specific	(none)	Large Red Potion		15	150			Restores a high amount of HP	50	1	FALSE	FALSE									0	TRUE	0										FALSE	FALSE	0	0	0			0	0									0	0
1	Consumable - Self	Non-specific	(none)	Pario Porta Scroll		17	150			"Allows the user to create a portal to any location that has been saved with ""/mark"""	50	1	FALSE	FALSE									0	TRUE	0										FALSE	FALSE	0	0	0			0	0									0	0
1	Consumable - Self	Non-specific	(none)	Purple Potion		20	150			Restores both HP and MP	50	1	FALSE	FALSE									0	TRUE	0										FALSE	FALSE	0	0	0			0	0									0	0
1	Consumable - Self	Non-specific	(none)	Red Potion		5	150			Restores some HP	50	1	FALSE	FALSE									0	TRUE	0										FALSE	FALSE	0	0	0			0	0									0	0
1	Consumable - Self	Non-specific	(none)	Small Blue Potion		1	150			Restores a low amount of MP	50	1	FALSE	FALSE									0	TRUE	0										FALSE	FALSE	0	0	0			0	0									0	0
1	Consumable - Self	Non-specific	(none)	Small Purple Potion		5	150			Restores a low amount of both HP and MP	50	1	FALSE	FALSE									0	TRUE	0										FALSE	FALSE	0	0	0			0	0									0	0
1	Consumable - Self	Non-specific	(none)	Small Red Potion		1	150			Restores a low amount of HP	50	1	FALSE	FALSE									0	TRUE	0										FALSE	FALSE	0	0	0			0	0									0	0
1	Consumable - Self	Non-specific	(none)	Trans Wand		10	150			Teleports the user to a location in view	50	1	FALSE	FALSE									0	TRUE	0										FALSE	FALSE	0	0	0			0	0									0	0
1	Equipment - Common	Non-specific	1-Handed Weapon	Wooden Club	Wooden	1	150	charred and heavy	1-handed weapon	A charred and heavy wooden 1-handed weapon	1	10	TRUE	FALSE	normal	average	1	1	1	2	650	0.18	0	TRUE	0							7.166568627	5.876586275	8.45655098	FALSE	FALSE	0	0	0			0	0									0	0
1	Equipment - Common	Non-specific	1-Handed Weapon	Wooden Dagger	Wooden	1	150	splintered	1-handed weapon	A splintered wooden 1-handed weapon	1	10	TRUE	FALSE	normal	fast	0.9	1	0.7	2	455	0.15	0	TRUE	0							4.514938235	3.8376975	5.192178971	FALSE	FALSE	0	0	0			0	0									0	0
1	Equipment - Common	Non-specific	Armor	Leather Armor	Leather	1	150	well-crafted suit of	armor	A well-crafted suit of leather armor	1	34	FALSE	FALSE									0	TRUE	0										TRUE	0.45	0	23.5	0			0	0									0	0
1	Equipment - Common	Non-specific	Belt	Leather Belt	Leather	1	150		belt	A leather belt	1	10	FALSE	FALSE									0	TRUE	0										TRUE	0.06	0	4	0			0	0									0	0
