Get at Level	Improves Until	Name	SpecialFX Done?	Stage Number	Name - old	Type	Type Info	Casting Requires Target	Can Target Caster	Can Target Dead	Class (Index)	Class Name	"MP Cost, if First Version"	MP Cost	Effect Delay (ms)	Repeat Delay (ms)	Targets	Period	Duration	Duration / Period	DPS Modifier	DPS @ Level Obtained	Range		Start Min Casts	Start Max Casts	End Min Casts	End Max Casts	Description	5	Real Description
8	12	Lumos Nex	Yes	0	Lumos Nex	AOE		FALSE	FALSE	FALSE	1	Sorcerer	0.15	25.2	200	500	3				0.9	26.22854839	small		3.465608466	9.867724868	5.105820106	14.08730159	Celestial spell that damages nearby enemies	Celestial spell that damages nearby enemies	
15	22	Lumos Nex	Yes	1	(Lumos Nex)	AOE		FALSE	FALSE	FALSE	1	Sorcerer	""""	25.2	0	700	4				1	53.35555556	medium		6.335978836	17.38095238	9.206349206	24.37830688	Celestial spell that damages nearby enemies	Celestial spell that damages nearby enemies	
26	40	Lux Luminari	Yes	0	Lux Luminari	AOE		FALSE	FALSE	FALSE	1	Sorcerer	0.2	100.7	0	700	5				1.2	111.8467662	medium		2.714333002	7.285666998	4.150943396	11.04601125	Powerful celestial spell that damages nearby enemies	Powerful celestial spell that damages nearby enemies	
32	40	Lux Luminari	Yes	1	(Lux Luminari)	AOE		FALSE	FALSE	FALSE	1	Sorcerer	""""	100.7	0	700	6				1.2	137.9366245	medium		3.330023171	8.934127772	4.150943396	11.04601125	Powerful celestial spell that damages nearby enemies	Powerful celestial spell that damages nearby enemies	
43	60	Lux Luminari	Yes	2	(Lux Luminari)	AOE		FALSE	FALSE	FALSE	1	Sorcerer	""""	100.7	0	700	7				1.2	186.3857426	large		4.458788481	11.99933797	6.203243959	16.97120159	Powerful celestial spell that damages nearby enemies	Powerful celestial spell that damages nearby enemies	
50	58	Magnus Luminarium	Yes	0	Magnus Luminarium	AOE		FALSE	FALSE	FALSE	1	Sorcerer	0.2	195.8	0	700	8				1.2	217.8876812	medium		2.662580865	7.337419135	3.084780388	8.489955737	Powerful celestial spell that damages nearby enemies	Powerful celestial spell that damages nearby enemies	
60	100	Magnus Luminarium	Yes	1	(Magnus Luminarium)	AOE		FALSE	FALSE	FALSE	1	Sorcerer	""""	195.8	0	700	12				1.2	265.2144444	medium		3.190330269	8.728294178	5.301327886	14.55737147	Powerful celestial spell that damages nearby enemies	Powerful celestial spell that damages nearby enemies	
71	150	Altus Luminarium	Yes	0	Altus Luminarium	AOE		FALSE	FALSE	FALSE	1	Sorcerer	0.2	279.5	0	700	12				1.2	319.2112951	large		2.641621944	7.358378056	5.562313655	14.37209302	The ultimate celestial area-of-effect damage spell	The ultimate celestial area-of-effect damage spell	
1	4	Astrum	Yes	0	Astrum	Direct Damage		TRUE	FALSE	FALSE	0	Adept	0.25	10.29166667	500	500					1.4	15.43568627			1.846153846	6.153846154	6.024291498	15.38461538	Damages the target with a magical star of energy	Damages the target with a magical star of energy	Damages the target with a magical star of energy
5	11	Astrum Magnus	Yes	0	Astrum Magnus	Direct Damage		TRUE	FALSE	FALSE	0	Adept	0.2	27.5	500	500					1.4	38.00222222			2.775757576	7.224242424	5.903030303	13.66060606	Damages the target with a magical star of energy	Damages the target with a magical star of energy	Damages the target with a magical star of energy
24	40	Sidus	Yes	0	Sidus	Direct Damage		TRUE	FALSE	FALSE	0	Adept	0.2	113.1666667	500	500					1.4	169.1666667			3.081001473	6.918998527	5.107511046	11.24300442	Damages the target with a magical star of energy	Damages the target with a magical star of energy	Damages the target with a magical star of energy
3	8	Orbis Flamma	Yes	0	Orbis Flamma	AOE-DOT	Caster-Center	FALSE	FALSE	FALSE	1	Sorcerer	0.85	65.73333333	200	300	16	1000	1250	1.25	0.5	4.674603175	very small		0.542596349	1.810344828	1.328600406	3.78296146	Creates a ring of fire around you that damages all enemies that get too close	Creates a ring of fire around you that damages all enemies that get too close	Creates a ring of fire around you that damages all enemies that get too close
15	22	Orbis Flamma	Yes	1	(Orbis Flamma)	AOE-DOT	Caster-Center	FALSE	FALSE	FALSE	1	Sorcerer	""""	65.73333333	200	300	16	1000	1250	1.25	0.5	19.05555556	very small		2.429006085	6.663286004	3.529411765	9.345841785	Creates a ring of fire around you that damages all enemies that get too close	Creates a ring of fire around you that damages all enemies that get too close	Creates a ring of fire around you that damages all enemies that get too close
8	12	Nex Noctum	Yes	0	Nex Noctum	AOE		FALSE	FALSE	FALSE	0	Adept	0.15	30	300	500	3				0.9	29.97548387	small		3.977777778	9.355555556	5.888888889	13.43333333	Shadow-damage spell that hits nearby enemies	Shadow-damage spell that hits nearby enemies	Shadow-damage spell that hits nearby enemies
13	22	Nex Noctum	Yes	1	(Nex Noctum)	AOE		FALSE	FALSE	FALSE	0	Adept	""""	30	0	700	3				1	45.93536585	medium		6.366666667	14.77777778	10.66666667	23.41111111	Shadow-damage spell that hits nearby enemies	Shadow-damage spell that hits nearby enemies	Shadow-damage spell that hits nearby enemies
23	35	Maleficus Noctum	Yes	0	Maleficus Noctum	AOE		FALSE	FALSE	FALSE	0	Adept	0.2	109	0	700	4				1.2	97.59300546	medium		3.067278287	6.932721713	4.645259939	10.41896024	Powerful shadow-damage spell that hits nearby enemies	Powerful shadow-damage spell that hits nearby enemies	Powerful shadow-damage spell that hits nearby enemies
29	38	Maleficus Noctum	Yes	1	(Maleficus Noctum)	AOE		FALSE	FALSE	FALSE	0	Adept	""""	109	0	700	5				1.2	123.6078539	medium		3.856269113	8.675840979	5.039755352	11.17125382	Powerful shadow-damage spell that hits nearby enemies	Powerful shadow-damage spell that hits nearby enemies	Powerful shadow-damage spell that hits nearby enemies
40	53	Maleficus Noctum	Yes	2	(Maleficus Noctum)	AOE		FALSE	FALSE	FALSE	0	Adept	""""	109	0	700	6				1.2	171.9789474	large		5.302752294	11.67278287	7.012232416	15.7675841	Powerful shadow-damage spell that hits nearby enemies	Powerful shadow-damage spell that hits nearby enemies	Powerful shadow-damage spell that hits nearby enemies
